tiff_file,prompt,category,ground_truth
Thermal_17,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_17,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_17,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_22,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_22,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_22,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_130,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_130,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_130,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_139,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_139,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_6,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_6,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_6,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_177,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_32,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_32,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_104,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_104,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_104,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_36,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
