tiff_file,prompt,ground_truth
Thermal_17,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",26.6
Thermal_17,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",26.9
Thermal_17,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.0
Thermal_17,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.3
Thermal_17,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.6
Thermal_17,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.0
Thermal_22,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_22,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.6
Thermal_22,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_22,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_22,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.8
Thermal_22,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_130,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_130,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.9
Thermal_130,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_130,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.2
Thermal_130,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_130,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.3
Thermal_139,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_139,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.2
Thermal_139,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_139,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_6,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.2
Thermal_6,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.7
Thermal_6,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_6,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.6
Thermal_6,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_6,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.3
Thermal_177,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.6
Thermal_177,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_32,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.5
Thermal_32,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.6
Thermal_32,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.9
Thermal_32,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.0
Thermal_104,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_104,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.3
Thermal_104,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.4
Thermal_104,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.9
Thermal_104,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.8
Thermal_104,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.4
Thermal_36,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_36,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_36,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.0
Thermal_36,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.4
Thermal_36,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_36,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.7
Thermal_232,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.2
Thermal_232,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.7
Thermal_232,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_232,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.7
Thermal_232,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_232,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.6
Thermal_205,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.4
Thermal_205,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.1
Thermal_205,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.4
Thermal_205,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.1
Thermal_205,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.1
Thermal_205,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.3
Thermal_96,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.1
